제목,주최사,url,장소,장르,시작일,종료일,등록일
내일의 예술전,예술의전당,https://www.sac.or.kr/site/main/show/show_view?SN=48382,한가람디자인미술관,뮤지컬,2023-10-24,2023-11-12,2022-04-27
체코 필하모닉,(주)인아츠프로덕션,https://www.sac.or.kr/site/main/show/show_view?SN=49258,콘서트홀,교향곡,2023-10-24,2023-10-24,2022-09-21
인문감상 강좌,예술의전당,https://www.sac.or.kr/site/main/show/show_view?SN=48498,IBK챔버홀,뮤지컬,2023-10-24,2023-10-24,2022-05-03
제11회 아니마 체임버 정기연주회,스튜디오칸투스,https://www.sac.or.kr/site/main/show/show_view?SN=48726,리사이틀홀,실내악,2023-10-24,2023-10-24,2022-06-24
2023 체코 필하모닉 내한공연,WCN코리아(주),https://www.sac.or.kr/site/main/show/show_view?SN=48948,콘서트홀,교향곡,2023-10-24,2023-10-24,2022-06-17
첼리스트 박경옥의 프로포즈 VII,박경옥,https://www.sac.or.kr/site/main/show/show_view?SN=48725,IBK챔버홀,실내악,2023-10-24,2023-10-24,2022-06-23
화음챔버오케스트라 미술관 순례 Ⅱ,(사)화음,https://www.sac.or.kr/site/main/show/show_view?SN=48704,인춘아트홀,실내악,2023-10-24,2023-10-24,2022-06-24
디즈니 100주년 기념 특별 콘서트 <킹스 싱어즈>,(주)마스트미디어,https://www.sac.or.kr/site/main/show/show_view?SN=48949,콘서트홀,클래식,2023-10-22,2023-10-22,2022-06-24
이길재 귀국 첼로 독주회,지클레프,https://www.sac.or.kr/site/main/show/show_view?SN=49218,리사이틀홀,독주,2023-10-22,2023-10-22,2022-09-23
알렉산더 가지예프 피아노 리사이틀,(주)스톰프뮤직,https://www.sac.or.kr/site/main/show/show_view?SN=49274,IBK챔버홀,클래식,2023-10-22,2023-10-22,2022-09-23
김신애 윤보연 듀오 콘서트,이든예술기획 주식회사,https://www.sac.or.kr/site/main/show/show_view?SN=49217,인춘아트홀,실내악,2023-10-22,2023-10-22,2022-09-22
임주연 호른 귀국 독주회,투픽스,https://www.sac.or.kr/site/main/show/show_view?SN=60266,리사이틀홀,독주,2023-10-22,2023-10-22,2022-11-08
제163회 서울신포니에타 정기연주회,서울신포니에타,https://www.sac.or.kr/site/main/show/show_view?SN=63541,IBK챔버홀,클래식,2023-10-21,2023-10-21,2023-06-18
키크니월드,디자인그룹서현,https://www.sac.or.kr/site/main/show/show_view?SN=61320,한가람미술관,전시,2023-10-21,2023-12-27,2023-01-27
이송희 첼로 독주회,지클레프,https://www.sac.or.kr/site/main/show/show_view?SN=48950,리사이틀홀,독주,2023-10-21,2023-10-21,2022-06-22
신세계와 함께하는 2023 예술의전당 토요콘서트(10월),예술의전당,https://www.sac.or.kr/site/main/show/show_view?SN=47403,콘서트홀,뮤지컬,2023-10-21,2023-10-21,2021-11-27
이루이사 쳄발로 독주회,이루이사,https://www.sac.or.kr/site/main/show/show_view?SN=48699,인춘아트홀,독주,2023-10-21,2023-10-21,2022-06-24
예술의전당 실내악 축제,예술의전당,https://www.sac.or.kr/site/main/show/show_view?SN=48594,IBK챔버홀,뮤지컬,2023-10-21,2023-10-21,2022-06-10
"코리아나 챔버 뮤직 소사이어티 25주년 기념 연주회 시리즈 II ""클래식의 품격""",코리아나 챔버 뮤직 소사이어티,https://www.sac.or.kr/site/main/show/show_view?SN=63043,IBK챔버홀,실내악,2023-10-21,2023-10-21,2023-06-21
예술의전당 실내악 축제,예술의전당,https://www.sac.or.kr/site/main/show/show_view?SN=48593,IBK챔버홀,뮤지컬,2023-10-21,2023-10-21,2022-06-10
고관수 오보에 독주회,위드클래식,https://www.sac.or.kr/site/main/show/show_view?SN=48751,리사이틀홀,독주,2023-10-21,2023-10-21,2022-06-20
한국프랑스가곡연구회 제88회 정기연주회,한국프랑스가곡연구회,https://www.sac.or.kr/site/main/show/show_view?SN=48752,리사이틀홀,성악,2023-10-20,2023-10-20,2022-06-24
예술의전당 실내악 축제,예술의전당,https://www.sac.or.kr/site/main/show/show_view?SN=48595,IBK챔버홀,뮤지컬,2023-10-20,2023-10-20,2022-06-10
심소정 하프 독주회,(주)더존테크윌,https://www.sac.or.kr/site/main/show/show_view?SN=60297,인춘아트홀,독주,2023-10-20,2023-10-20,2022-11-11
"국립합창단 제195회 정기연주회 <로시니(Rossini), 스타바트 마테르(Stabat Mater)>",(재)국립합창단,https://www.sac.or.kr/site/main/show/show_view?SN=48951,콘서트홀,합창,2023-10-20,2023-10-20,2022-06-23
예술의전당 유료/제휴사 회원 이벤트 Book Talk,예술의전당,https://www.sac.or.kr/site/main/show/show_view?SN=65142,리사이틀홀,뮤지컬,2023-10-20,2023-10-20,2023-09-13
대학오케스트라 축제,예술의전당,https://www.sac.or.kr/site/main/show/show_view?SN=47404,콘서트홀,뮤지컬,2023-10-20,2023-10-20,2021-11-27
인문감상 강좌,예술의전당,https://www.sac.or.kr/site/main/show/show_view?SN=48499,IBK챔버홀,뮤지컬,2023-10-20,2023-10-20,2022-05-03
트리오 아티스트리 제5회 정기연주회,TRIO ARTISTRY,https://www.sac.or.kr/site/main/show/show_view?SN=63794,IBK챔버홀,실내악,2023-10-20,2023-10-20,2023-06-22
이드리스 칸．애니 모리스 특별展,(주)아트앤크리에이티브,https://www.sac.or.kr/site/main/show/show_view?SN=49112,한가람미술관,전시,2023-10-19,2023-12-07,2022-06-10
고성현 & 고영열 듀오 리사이틀,서울예술기획(주),https://www.sac.or.kr/site/main/show/show_view?SN=63860,IBK챔버홀,클래식,2023-10-19,2023-10-19,2023-06-22
한국슈베르트협회 74회 정기연주회,한국슈베르트협회,https://www.sac.or.kr/site/main/show/show_view?SN=48753,리사이틀홀,성악,2023-10-19,2023-10-19,2022-06-24
예술의전당 실내악 축제,예술의전당,https://www.sac.or.kr/site/main/show/show_view?SN=48596,IBK챔버홀,뮤지컬,2023-10-19,2023-10-19,2022-06-10
인문감상 강좌,예술의전당,https://www.sac.or.kr/site/main/show/show_view?SN=48500,IBK챔버홀,뮤지컬,2023-10-19,2023-10-19,2022-05-03
해설과 함께하는 첼리스트 배유미의 무반주 음악 II,예인예술기획,https://www.sac.or.kr/site/main/show/show_view?SN=62980,인춘아트홀,독주,2023-10-19,2023-10-19,2023-05-24
3인의 레전드 콘서트,서울예술기획(주),https://www.sac.or.kr/site/main/show/show_view?SN=65000,IBK챔버홀,성악,2023-10-19,2023-10-19,2023-08-07
예술의전당 전관 개관 30주년 특별음악회-코리안챔버오케스트라 초청 콘서트,예술의전당,https://www.sac.or.kr/site/main/show/show_view?SN=47405,콘서트홀,뮤지컬,2023-10-19,2023-10-19,2021-11-27
대학오케스트라 축제,예술의전당,https://www.sac.or.kr/site/main/show/show_view?SN=47406,콘서트홀,뮤지컬,2023-10-18,2023-10-18,2021-11-27
예술의전당 전관 개관 30주년 특별음악회 - 황수미&안종도 듀오 콘서트,예술의전당,https://www.sac.or.kr/site/main/show/show_view?SN=48597,IBK챔버홀,클래식,2023-10-18,2023-10-18,2022-06-10
선우예권 피아노 리사이틀,(주)마스트미디어,https://www.sac.or.kr/site/main/show/show_view?SN=48971,콘서트홀,독주,2023-10-18,2023-10-18,2022-06-24
박준영 바이올린 독주회,조인클래식,https://www.sac.or.kr/site/main/show/show_view?SN=48952,리사이틀홀,독주,2023-10-18,2023-10-18,2022-06-24
정성희 피아노 독주회,CLASSICO,https://www.sac.or.kr/site/main/show/show_view?SN=60716,인춘아트홀,독주,2023-10-18,2023-10-18,2022-12-16
인문감상 강좌,예술의전당,https://www.sac.or.kr/site/main/show/show_view?SN=48501,IBK챔버홀,뮤지컬,2023-10-18,2023-10-18,2022-05-03
화음챔버오케스트라 미술관 순례 Ⅰ,(사)화음,https://www.sac.or.kr/site/main/show/show_view?SN=48705,인춘아트홀,실내악,2023-10-17,2023-10-17,2022-06-24
인문감상 강좌,예술의전당,https://www.sac.or.kr/site/main/show/show_view?SN=48502,IBK챔버홀,뮤지컬,2023-10-17,2023-10-17,2022-05-03
예술의전당 실내악 축제,예술의전당,https://www.sac.or.kr/site/main/show/show_view?SN=48598,IBK챔버홀,뮤지컬,2023-10-17,2023-10-17,2022-06-10
이민영의 음악산책 III,콘서트디자인,https://www.sac.or.kr/site/main/show/show_view?SN=49203,리사이틀홀,독주,2023-10-17,2023-10-17,2022-09-23
조이오브스트링스 정기연주회,(사)조이오브스트링스,https://www.sac.or.kr/site/main/show/show_view?SN=48953,IBK챔버홀,실내악,2023-10-17,2023-10-17,2022-06-24
